year,c2vsim,cvhm
1975,-287.0,-195.1
1976,-420.5,-442.9
1977,-538.9,-549.7
1978,-208.9,267.5
1979,-176.3,60.3
1980,-55.8,14.6
1981,-221.7,-185.0
1982,-118.1,-64.9
1983,31.1,374.9
1984,-130.2,28.7
1985,-215.4,-249.7
1986,-80.1,-29.0
1987,-266.2,-318.0
1988,-320.4,-457.1
1989,-363.7,-438.7
1990,-475.2,-538.1
1991,-431.6,-392.5
1992,-390.5,-389.0
1993,-192.2,-12.1
1994,-318.9,-325.5
1995,-66.4,115.7
1996,-75.1,93.0
1997,-56.6,78.0
1998,43.8,272.6
1999,-204.0,35.5
2000,-249.8,-94.6
2001,-296.7,-186.3
2002,-331.6,-341.8
2003,-308.3,-193.4
2004,-313.7,
2005,-52.9,
2006,3.1,
2007,-294.9,
2008,-322.0,
2009,-317.5,
